L.Act - R.Act Pitch, Yaw, Roll, Contact
 ***Left Actuator value = -0.1 ****
L -0.1   R -0.1  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.07894736842105264   R 0.06842105263157894  P -20.909930545921128,   Y36.346666782883126,    R 0.008416066714805536, AxisA((0.15900073945522308, -0.48371338844299316, 0.8606625199317932), 0.728792130947113) C0
 L -0.07894736842105264   R 0.07894736842105263  P -20.909930545921128,   Y36.346666782883126,    R 0.008416066714805536, AxisA((0.15900073945522308, -0.48371338844299316, 0.8606625199317932), 0.728792130947113) C0
 L -0.07894736842105264   R 0.08947368421052632  P -20.909930545921128,   Y36.346666782883126,    R 0.008416066714805536, AxisA((0.15900073945522308, -0.48371338844299316, 0.8606625199317932), 0.728792130947113) C0
 L -0.07894736842105264   R 0.1  P -20.909930545921128,   Y36.346666782883126,    R 0.008416066714805536, AxisA((0.15900073945522308, -0.48371338844299316, 0.8606625199317932), 0.728792130947113) C0
 ***Left Actuator value = -0.06842105263157895 ****
L -0.06842105263157895   R -0.1  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
 L -0.06842105263157895   R -0.08947368421052632  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
 L -0.06842105263157895   R -0.07894736842105264  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
 L -0.06842105263157895   R -0.06842105263157895  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
 L -0.06842105263157895   R -0.05789473684210527  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
 L -0.06842105263157895   R -0.04736842105263159  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
 L -0.06842105263157895   R -0.0368421052631579  P -36.22649552688519,   Y18.431100899879805,    R 0.004730170897657122, AxisA((0.14394497871398926, -0.8865096569061279, 0.43975019454956055), 0.7069571018218994) C0
