L.Act - R.Act Pitch, Yaw, Roll, Contact
 ***Left Actuator value = -0.1 ****
L -0.1   R -0.1  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.0368421052631579   R -0.026315789473684223  P -12.047099072041043,   Y47.67234287353239,    R -0.0064631025025662595, AxisA((0.10197462141513824, -0.23114681243896484, 0.9675602316856384), 0.8566778898239136) C1
 L -0.0368421052631579   R -0.015789473684210534  P -12.047099072041043,   Y47.67234287353239,    R -0.0064631025025662595, AxisA((0.10197462141513824, -0.23114681243896484, 0.9675602316856384), 0.8566778898239136) C1
 L -0.0368421052631579   R -0.005263157894736845  P -12.047099072041043,   Y47.67234287353239,    R -0.0064631025025662595, AxisA((0.10197462141513824, -0.23114681243896484, 0.9675602316856384), 0.8566778898239136) C1
 L -0.0368421052631579   R 0.005263157894736831  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.0368421052631579   R 0.01578947368421052  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.0368421052631579   R 0.02631578947368421  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.0368421052631579   R 0.0368421052631579  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.0368421052631579   R 0.04736842105263156  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.0368421052631579   R 0.05789473684210525  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.0368421052631579   R 0.06842105263157894  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.0368421052631579   R 0.07894736842105263  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.0368421052631579   R 0.08947368421052632  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.0368421052631579   R 0.1  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 ***Left Actuator value = -0.026315789473684223 ****
L -0.026315789473684223   R -0.1  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.026315789473684223   R -0.08947368421052632  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.026315789473684223   R -0.07894736842105264  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.026315789473684223   R -0.06842105263157895  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.026315789473684223   R -0.05789473684210527  P -15.306805866747064,   Y47.26014019627582,    R -0.0026373986919702324, AxisA((0.1273590475320816, -0.2912326455116272, 0.9481369853019714), 0.8646572828292847) C1
 L -0.026315789473684223   R -0.04736842105263159  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R -0.0368421052631579  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R -0.026315789473684223  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R -0.015789473684210534  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R -0.005263157894736845  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R 0.005263157894736831  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R 0.01578947368421052  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R 0.02631578947368421  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R 0.0368421052631579  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R 0.04736842105263156  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R 0.05789473684210525  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R 0.06842105263157894  P -35.33999236340214,   Y23.23639109933591,    R -0.0008134239807688899, AxisA((0.17020821571350098, -0.8279484510421753, 0.5343507528305054), 0.7346072196960449) C0
 L -0.026315789473684223   R 0.07894736842105263  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.026315789473684223   R 0.08947368421052632  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.026315789473684223   R 0.1  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 ***Left Actuator value = -0.015789473684210534 ****
L -0.015789473684210534   R -0.1  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R -0.08947368421052632  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R -0.07894736842105264  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R -0.06842105263157895  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R -0.05789473684210527  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R -0.04736842105263159  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R -0.0368421052631579  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R -0.026315789473684223  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R -0.015789473684210534  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R -0.005263157894736845  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R 0.005263157894736831  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R 0.01578947368421052  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R 0.02631578947368421  P -14.092726818463566,   Y47.82699433562598,    R -0.004826282157827863, AxisA((0.11814184486865997, -0.26667794585227966, 0.9565172791481018), 0.8681658506393433) C1
 L -0.015789473684210534   R 0.0368421052631579  P -12.58394390257338,   Y47.21034949021594,    R -0.006235505518207163, AxisA((0.10618426650762558, -0.24331355094909668, 0.964117705821991), 0.8511123061180115) C1
 L -0.015789473684210534   R 0.04736842105263156  P -12.58394390257338,   Y47.21034949021594,    R -0.006235505518207163, AxisA((0.10618426650762558, -0.24331355094909668, 0.964117705821991), 0.8511123061180115) C1
 L -0.015789473684210534   R 0.05789473684210525  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.015789473684210534   R 0.06842105263157894  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.015789473684210534   R 0.07894736842105263  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.015789473684210534   R 0.08947368421052632  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.015789473684210534   R 0.1  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 ***Left Actuator value = -0.005263157894736845 ****
L -0.005263157894736845   R -0.1  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R -0.08947368421052632  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R -0.07894736842105264  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R -0.06842105263157895  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R -0.05789473684210527  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R -0.04736842105263159  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R -0.0368421052631579  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R -0.026315789473684223  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R -0.015789473684210534  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R -0.005263157894736845  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R 0.005263157894736831  P -3.6846176563898574,   Y45.73062097639608,    R -0.00396136637960485, AxisA((0.0319741815328598, -0.07604970037937164, 0.9965910315513611), 0.8005958795547485) C1
 L -0.005263157894736845   R 0.01578947368421052  P 8.093440548030626,   Y41.470050884798205,    R -0.0011000114191146062, AxisA((-0.06939952820539474, 0.1832464337348938, 0.9806140661239624), 0.7368494272232056) C1
 L -0.005263157894736845   R 0.02631578947368421  P 8.093440548030626,   Y41.470050884798205,    R -0.0011000114191146062, AxisA((-0.06939952820539474, 0.1832464337348938, 0.9806140661239624), 0.7368494272232056) C1
 L -0.005263157894736845   R 0.0368421052631579  P 8.093440548030626,   Y41.470050884798205,    R -0.0011000114191146062, AxisA((-0.06939952820539474, 0.1832464337348938, 0.9806140661239624), 0.7368494272232056) C1
 L -0.005263157894736845   R 0.04736842105263156  P 8.093440548030626,   Y41.470050884798205,    R -0.0011000114191146062, AxisA((-0.06939952820539474, 0.1832464337348938, 0.9806140661239624), 0.7368494272232056) C1
 L -0.005263157894736845   R 0.05789473684210525  P 9.689376459086127,   Y41.3378758890368,    R -0.000797563566094637, AxisA((-0.08243287354707718, 0.21845614910125732, 0.9723590612411499), 0.7401922345161438) C1
 L -0.005263157894736845   R 0.06842105263157894  P 9.689376459086127,   Y41.3378758890368,    R -0.000797563566094637, AxisA((-0.08243287354707718, 0.21845614910125732, 0.9723590612411499), 0.7401922345161438) C1
 L -0.005263157894736845   R 0.07894736842105263  P 9.689376459086127,   Y41.3378758890368,    R -0.000797563566094637, AxisA((-0.08243287354707718, 0.21845614910125732, 0.9723590612411499), 0.7401922345161438) C1
 L -0.005263157894736845   R 0.08947368421052632  P 9.689376459086127,   Y41.3378758890368,    R -0.000797563566094637, AxisA((-0.08243287354707718, 0.21845614910125732, 0.9723590612411499), 0.7401922345161438) C1
 L -0.005263157894736845   R 0.1  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 ***Left Actuator value = 0.005263157894736831 ****
L 0.005263157894736831   R -0.1  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R -0.08947368421052632  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R -0.07894736842105264  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R -0.06842105263157895  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R -0.05789473684210527  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R -0.04736842105263159  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R -0.0368421052631579  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R -0.026315789473684223  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R -0.015789473684210534  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R -0.005263157894736845  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.005263157894736831  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.01578947368421052  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.02631578947368421  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.0368421052631579  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.04736842105263156  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.05789473684210525  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.06842105263157894  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.07894736842105263  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.08947368421052632  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.005263157894736831   R 0.1  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 ***Left Actuator value = 0.01578947368421052 ****
L 0.01578947368421052   R -0.1  P 17.382012638387003,   Y41.29963405362087,    R 0.0006227903406062563, AxisA((-0.14023905992507935, 0.37215736508369446, 0.9175140261650085), 0.779474675655365) C1
 L 0.01578947368421052   R -0.08947368421052632  P -0.016351951111678215,   Y-10.566479345907704,    R -9.122025178527858e-05, AxisA((-0.00015130634710658342, -0.0015423477161675692, -1.000001072883606), 0.18441979587078094) C0
 L 0.01578947368421052   R -0.07894736842105264  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R -0.06842105263157895  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R -0.05789473684210527  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R -0.04736842105263159  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R -0.0368421052631579  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R -0.026315789473684223  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R -0.015789473684210534  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R -0.005263157894736845  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R 0.005263157894736831  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R 0.01578947368421052  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R 0.02631578947368421  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R 0.0368421052631579  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R 0.04736842105263156  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R 0.05789473684210525  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R 0.06842105263157894  P -0.24100342591220575,   Y-16.729532267642067,    R 1.888926563273214e-05, AxisA((-0.0021018132101744413, -0.014302059076726437, -0.9998950958251953), 0.2920154333114624) C0
 L 0.01578947368421052   R 0.07894736842105263  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.01578947368421052   R 0.08947368421052632  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.01578947368421052   R 0.1  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 ***Left Actuator value = 0.02631578947368421 ****
L 0.02631578947368421   R -0.1  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R -0.08947368421052632  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R -0.07894736842105264  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R -0.06842105263157895  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R -0.05789473684210527  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R -0.04736842105263159  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R -0.0368421052631579  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R -0.026315789473684223  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R -0.015789473684210534  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R -0.005263157894736845  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R 0.005263157894736831  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R 0.01578947368421052  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R 0.02631578947368421  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R 0.0368421052631579  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R 0.04736842105263156  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R 0.05789473684210525  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R 0.06842105263157894  P 19.008289379564754,   Y-1.2679970884390406,    R 0.0008694614590089698, AxisA((0.0110862385481596, 0.9977588653564453, -0.06595678627490997), 0.33248865604400635) C0
 L 0.02631578947368421   R 0.07894736842105263  P 32.694131765100174,   Y-0.10886425160663368,    R 0.00019437395816867254, AxisA((0.0009557975572533906, 0.999994158744812, -0.0032406137324869633), 0.5706232786178589) C0
